workload,bs,bs_bytes,qd,iops,bw_mibps,lat_mean_us,lat_p99_us
randomread,4k,4096,1,12426.314737,48.54029178619385,80.28518882,119.296
randomread,4k,4096,2,24545.090982,95.8792610168457,81.29384024400001,138.24
randomread,4k,4096,4,47165.566887,184.24049472808838,84.622260231,164.864
randomread,4k,4096,8,86213.957209,336.7732696533203,92.605802345,201.728
randomread,4k,4096,16,138259.54809,540.076358795166,115.534136311,301.056
randomread,4k,4096,32,175960.607878,687.3461236953735,181.662650608,561.152
randomread,4k,4096,64,188066.386723,734.6343231201172,340.099262716,1171.456
randomread,4k,4096,128,189766.739956,741.2763271331787,674.2162767479999,2572.288
randomread,4k,4096,256,189820.37962,741.4858570098877,1348.2551039549999,5406.72
randomread,8k,8192,1,10412.717457,81.34935474395752,95.832910282,166.912
randomread,8k,8192,2,19989.0022,156.1640796661377,99.85976838900001,189.44
randomread,8k,8192,4,36245.15097,283.1652412414551,110.16673829,228.352
randomread,8k,8192,8,58529.894021,457.26479625701904,136.489954104,301.056
randomread,8k,8192,16,79199.960008,618.7496871948242,201.822937121,468.992
randomread,8k,8192,32,90326.534693,705.6760520935059,354.056746539,798.72
randomread,8k,8192,64,94311.87525,736.8115253448486,678.284039968,1499.136
randomread,8k,8192,128,94837.897262,740.9210720062256,1349.418287645,2965.504
randomread,8k,8192,256,94862.564922,741.113787651062,2697.8319581980004,5799.936
randomread,16k,16384,1,7903.619276,123.49405097961426,126.306159616,248.832
randomread,16k,16384,2,14255.34893,222.73982620239258,140.090330715,280.576
randomread,16k,16384,4,23190.761848,362.3556537628174,172.275452383,337.92
randomread,16k,16384,8,33451.509698,522.679838180542,238.94452421199998,452.608
randomread,16k,16384,16,41423.715257,647.2455501556396,386.038854185,675.84
randomread,16k,16384,32,45656.668666,713.3854475021362,700.655053524,1138.688
randomread,16k,16384,64,47262.095162,738.4702367782593,1353.745596413,2007.04
randomread,16k,16384,128,47508.095143,742.313985824585,2693.939175675,3686.4
randomread,16k,16384,256,47507.391131,742.3029861450195,5387.511857103001,7176.192
randomread,32k,32768,1,4876.824635,152.4007692337036,204.815128009,440.32
randomread,32k,32768,2,8764.847031,273.90146923065186,227.936858052,493.568
randomread,32k,32768,4,14420.915817,450.65361881256104,277.137745754,569.344
randomread,32k,32768,8,21762.44751,680.0764846801758,367.376855927,733.184
randomread,32k,32768,16,28177.764447,880.5551385879517,567.568319628,1073.152
randomread,32k,32768,32,32072.785443,1002.2745447158813,997.5057561660001,1843.2
randomread,32k,32768,64,33448.530881,1045.266589164734,1912.8566002819998,3686.4
randomread,32k,32768,128,33622.302158,1050.6969423294067,3806.273484095,7503.872
randomread,32k,32768,256,33626.797125,1050.8374099731445,7610.844984744999,15269.888
randomread,64k,65536,1,2776.444711,173.52779388427734,359.881744112,798.72
randomread,64k,65536,2,5128.574285,320.53589248657227,389.691019768,913.408
randomread,64k,65536,4,8533.893221,533.3683261871338,468.45419305,1028.096
randomread,64k,65536,8,12695.660868,793.4788036346436,629.872164165,1351.68
randomread,64k,65536,16,16817.672931,1051.1045579910278,950.9866273509999,2007.04
randomread,64k,65536,32,19586.048371,1224.128023147583,1633.352140506,3653.632
randomread,64k,65536,64,20620.17982,1288.7612380981445,3102.766109424,7241.728
randomread,64k,65536,128,20734.172159,1295.8857593536377,6171.261585517001,14483.456
randomread,64k,65536,256,20742.617717,1296.4136066436768,12336.683008465,28704.768
randomread,128k,131072,1,1272.491004,159.06137466430664,785.042052317,1548.288
randomread,128k,131072,2,2750.84983,343.85622787475586,726.5851410189999,1728.512
randomread,128k,131072,4,4937.62495,617.2031183242798,809.666984857,1908.736
randomread,128k,131072,8,7020.991603,877.6239500045776,1139.013714143,2637.824
randomread,128k,131072,16,9254.898041,1156.8622550964355,1728.376700127,4079.616
randomread,128k,131072,32,10798.920648,1349.865080833435,2962.724333667,7438.336
randomread,128k,131072,64,11371.154614,1421.394326210022,5627.042443837,14483.456
randomread,128k,131072,128,11445.929769,1430.7412204742432,11179.053841198,28442.624
randomread,128k,131072,256,11467.449731,1433.4312162399292,22311.127818684,55836.672
randomread,256k,262144,1,376.524695,94.1311731338501,2654.365392459,3194.88
randomread,256k,262144,2,1323.135373,330.7838430404663,1510.7830527429999,3391.488
randomread,256k,262144,4,2613.631821,653.4079551696777,1529.6741794129998,3719.168
randomread,256k,262144,8,3502.79888,875.6997194290161,2283.365771417,5603.328
randomread,256k,262144,16,4413.269384,1103.3173456192017,3624.431874751,9240.576
randomread,256k,262144,32,4960.678643,1240.1696605682373,6448.746935541,17432.576
randomread,256k,262144,64,5126.594896,1281.648723602295,12479.278052848,33816.576
randomread,256k,262144,128,5143.454039,1285.8635091781616,24872.976727863,66846.72
randomread,256k,262144,256,5144.979204,1286.244800567627,49702.774170343,130547.712
randomwrite,4k,4096,1,22778.444311,88.97829723358154,43.712489119,321.536
randomwrite,4k,4096,2,38866.626675,151.8227596282959,51.273314531000004,473.088
randomwrite,4k,4096,4,63811.037792,249.26186561584473,62.501895192999996,724.992
randomwrite,4k,4096,8,73199.760048,285.936562538147,109.102904177,1482.752
randomwrite,4k,4096,16,73110.3338,285.5872411727905,218.634113295,3325.952
randomwrite,4k,4096,32,74897.061763,292.56664657592773,427.030877009,7700.48
randomwrite,4k,4096,64,74031.331072,289.18488693237305,864.189122568,19267.584
randomwrite,4k,4096,128,74197.852456,289.8353605270386,1724.646364122,34865.152
randomwrite,4k,4096,256,74640.485186,291.5643949508667,3428.840078654,42729.472
randomwrite,8k,8192,1,10402.319536,81.26812076568604,95.927029987,505.856
randomwrite,8k,8192,2,18378.324335,143.58065795898438,108.609666674,692.224
randomwrite,8k,8192,4,28622.075585,223.60996532440186,139.55605723800002,1019.904
randomwrite,8k,8192,8,34370.525895,268.5197334289551,232.564649793,1843.2
randomwrite,8k,8192,16,36522.486508,285.3319253921509,437.811859645,3457.024
randomwrite,8k,8192,32,37249.150849,291.00899028778076,858.7469044210001,7372.8
randomwrite,8k,8192,64,38346.230554,299.5799255371094,1668.535443912,19005.44
randomwrite,8k,8192,128,39503.883689,308.62409114837646,3239.353890199,41156.608
randomwrite,8k,8192,256,40750.198255,318.36092376708984,6280.708594009,52166.656
randomwrite,16k,16384,1,4964.407119,77.56886100769043,201.18745954000002,700.416
randomwrite,16k,16384,2,8674.865027,135.5447654724121,230.305468202,921.6
randomwrite,16k,16384,4,13780.043991,215.3131866455078,290.054677395,1318.912
randomwrite,16k,16384,8,17684.92603,276.3269691467285,452.071267262,1990.656
randomwrite,16k,16384,16,21174.495303,330.85148906707764,755.2832252869999,3293.184
randomwrite,16k,16384,32,23559.728326,368.12075424194336,1357.74417798,6389.76
randomwrite,16k,16384,64,23776.801757,371.512526512146,2691.164871769,12779.52
randomwrite,16k,16384,128,23353.726584,364.9019775390625,5479.495505389,19005.44
randomwrite,16k,16384,256,23419.64996,365.9320297241211,10929.026043005,33816.576
randomwrite,32k,32768,1,2586.682663,80.83383274078369,386.241852968,1138.688
randomwrite,32k,32768,2,3372.525495,105.3914213180542,592.640223052,1859.584
randomwrite,32k,32768,4,3358.384969,104.94952964782715,1190.413311987,2965.504
randomwrite,32k,32768,8,3309.352518,103.41726589202881,2416.692106039,5144.576
randomwrite,32k,32768,16,3335.530258,104.23532009124756,4795.962475421,9502.72
randomwrite,32k,32768,32,3363.85398,105.120436668396,9511.440959082,17170.432
randomwrite,32k,32768,64,3406.691894,106.45912075042725,18784.597895469,31850.496
randomwrite,32k,32768,128,3454.978183,107.96806812286377,37038.308302009,58982.4
randomwrite,32k,32768,256,3358.638231,104.957444190979,76200.984522195,149946.368
randomwrite,64k,65536,1,1335.132973,83.44581031799316,748.359627527,1204.224
randomwrite,64k,65536,2,1677.064587,104.81653594970703,1191.968773697,2088.96
